code	id	message
400	LASTNAME_INVALID	The last name is invalid
400	LIMIT_INVALID	The limit parameter is invalid
400	LINK_NOT_MODIFIED	The chat link was not modified because you tried to link to the same target
400	LOCATION_INVALID	The file location is invalid
400	MAX_DATE_INVALID	The specified maximum date is invalid.
400	MAX_ID_INVALID	The max_id parameter is invalid
400	MAX_QTS_INVALID	The provided QTS is invalid
400	MD5_CHECKSUM_INVALID	The file's checksum did not match the md5_checksum parameter
400	MEDIA_CAPTION_TOO_LONG	The media caption is too long
400	MEDIA_EMPTY	The media you tried to send is invalid
400	MEDIA_FILE_INVALID	The specified media file is invalid.
400	MEDIA_GROUPED_INVALID	You tried to send media of different types in an album.
400	MEDIA_INVALID	The media is invalid
400	MEDIA_NEW_INVALID	The new media to edit the message with is invalid
400	MEDIA_PREV_INVALID	The previous media cannot be edited with anything else
400	MEDIA_TTL_INVALID	The specified media TTL is invalid.
400	MEDIA_TYPE_INVALID	The specified media type cannot be used in stories.
400	MEDIA_VIDEO_STORY_MISSING	
400	MEGAGROUP_GEO_REQUIRED	
400	MEGAGROUP_ID_INVALID	The supergroup is invalid
400	MEGAGROUP_PREHISTORY_HIDDEN	The action failed because the supergroup has the pre-history hidden
400	MEGAGROUP_REQUIRED	The request can only be used with a supergroup
400	MESSAGE_EDIT_TIME_EXPIRED	You can no longer edit this message because too much time has passed
400	MESSAGE_EMPTY	The message sent is empty or contains invalid characters
400	MESSAGE_IDS_EMPTY	The requested message doesn't exist or you provided no message id
400	MESSAGE_ID_INVALID	The message id is invalid
400	MESSAGE_NOT_MODIFIED	The message was not modified because you tried to edit it using the same content
400	MESSAGE_POLL_CLOSED	You can't interact with a closed poll
400	MESSAGE_TOO_LONG	The message text is too long
400	METHOD_INVALID	The API method is invalid and cannot be used
400	MIN_DATE_INVALID	The specified minimum date is invalid.
400	MSG_ID_INVALID	The message ID used in the peer was invalid
400	MSG_TOO_OLD	chat_read_mark_expire_period seconds have passed since the message was sent, read receipts were deleted.
400	MSG_WAIT_FAILED	A waiting call returned an error
400	MULTI_MEDIA_TOO_LONG	The album/media group contains too many items
400	NEW_SALT_INVALID	The new salt is invalid
400	NEW_SETTINGS_EMPTY	No password is set on the current account, and no new password was specified in new_settings.
400	NEW_SETTINGS_INVALID	The new settings are invalid
400	NEXT_OFFSET_INVALID	The next offset value is invalid
400	OFFSET_INVALID	The offset parameter is invalid
400	OFFSET_PEER_ID_INVALID	The provided offset peer is invalid
400	OPTIONS_TOO_MUCH	The poll options are too many
400	OPTION_INVALID	The option specified is invalid and does not exist in the target poll
400	ORDER_INVALID	The specified username order is invalid.
400	PACK_SHORT_NAME_INVALID	Invalid sticker pack name. It must begin with a letter, can't contain consecutive underscores and must end in '_by_<bot username>'.
400	PACK_SHORT_NAME_OCCUPIED	A sticker pack with this name already exists
400	PACK_TITLE_INVALID	The sticker pack title is invalid
400	PARTICIPANTS_TOO_FEW	The chat doesn't have enough participants
400	PARTICIPANT_ID_INVALID	The specified participant ID is invalid.
400	PARTICIPANT_JOIN_MISSING	Trying to enable a presentation, when the user hasn't joined the Video Chat with phone.joinGroupCall.
400	PARTICIPANT_VERSION_OUTDATED	The other participant is using an outdated Telegram app version
400	PASSWORD_EMPTY	The password provided is empty
400	PASSWORD_HASH_INVALID	The two-step verification password is invalid
400	PASSWORD_MISSING	The account is missing the two-step verification password
400	PASSWORD_RECOVERY_EXPIRED	The recovery code has expired.
400	PASSWORD_RECOVERY_NA	The password recovery e-mail is not available
400	PASSWORD_REQUIRED	The two-step verification password is required for this method
400	PASSWORD_TOO_FRESH_X	The two-step verification password was added recently and you are required to wait {value} seconds
400	PAYMENT_PROVIDER_INVALID	The payment provider was not recognised or its token was invalid
400	PEERS_LIST_EMPTY	The specified list of peers is empty.
400	PEER_FLOOD	The method can't be used because your account is currently limited
400	PEER_HISTORY_EMPTY	You can't pin an empty chat with a user.
400	PEER_ID_INVALID	The peer id being used is invalid or not known yet. Make sure you meet the peer before interacting with it
400	PEER_ID_NOT_SUPPORTED	The provided peer id is not supported
400	PERSISTENT_TIMESTAMP_EMPTY	The pts argument is empty
400	PERSISTENT_TIMESTAMP_INVALID	The persistent timestamp is invalid
400	PHONE_CODE_EMPTY	The phone code is missing
400	PHONE_CODE_EXPIRED	The confirmation code has expired
400	PHONE_CODE_HASH_EMPTY	The phone code hash is missing
400	PHONE_CODE_INVALID	The confirmation code is invalid
400	PHONE_HASH_EXPIRED	An invalid or expired phone_code_hash was provided.
400	PHONE_NOT_OCCUPIED	No user is associated to the specified phone number.
400	PHONE_NUMBER_APP_SIGNUP_FORBIDDEN	You can't sign up using this app
400	PHONE_NUMBER_BANNED	The phone number is banned from Telegram and cannot be used
400	PHONE_NUMBER_FLOOD	This number has tried to login too many times
400	PHONE_NUMBER_INVALID	The phone number is invalid
400	PHONE_NUMBER_OCCUPIED	The phone number is already in use
400	PHONE_NUMBER_UNOCCUPIED	The phone number is not yet being used
400	PHONE_PASSWORD_PROTECTED	The phone is password protected
400	PHOTO_CONTENT_TYPE_INVALID	The photo content type is invalid
400	PHOTO_CONTENT_URL_EMPTY	The photo content URL is empty
400	PHOTO_CROP_FILE_MISSING	Photo crop file missing
400	PHOTO_CROP_SIZE_SMALL	The photo is too small
400	PHOTO_EXT_INVALID	The photo extension is invalid
400	PHOTO_FILE_MISSING	Profile photo file missing
400	PHOTO_ID_INVALID	The photo id is invalid
400	PHOTO_INVALID	The photo is invalid
400	PHOTO_INVALID_DIMENSIONS	The photo dimensions are invalid
400	PHOTO_SAVE_FILE_INVALID	The photo you tried to send cannot be saved by Telegram
400	PHOTO_THUMB_URL_EMPTY	The photo thumb URL is empty
400	PHOTO_THUMB_URL_INVALID	The photo thumb URL is invalid
400	PINNED_DIALOGS_TOO_MUCH	Too many pinned dialogs
400	PIN_RESTRICTED	You can't pin messages in private chats with other people
400	POLL_ANSWERS_INVALID	The poll answers are invalid
400	POLL_ANSWER_INVALID	One of the poll answers is not acceptable.
400	POLL_OPTION_DUPLICATE	A duplicate option was sent in the same poll
400	POLL_OPTION_INVALID	A poll option used invalid data (the data may be too long)
400	POLL_QUESTION_INVALID	The poll question is invalid
400	POLL_UNSUPPORTED	This layer does not support polls in the invoked method
400	POLL_VOTE_REQUIRED	Cast a vote in the poll before calling this method
400	PREMIUM_ACCOUNT_REQUIRED	A premium account is required to execute this action.
400	PRIVACY_KEY_INVALID	The privacy key is invalid
400	PRIVACY_TOO_LONG	Your privacy exception list has exceeded the maximum capacity
400	PRIVACY_VALUE_INVALID	The privacy value is invalid
400	PUBLIC_KEY_REQUIRED	A public key is required.
400	QUERY_ID_EMPTY	The query ID is empty
400	QUERY_ID_INVALID	The callback query id is invalid
400	QUERY_TOO_SHORT	The query is too short
400	QUIZ_ANSWER_MISSING	You can forward a quiz while hiding the original author only after choosing an option in the quiz.
400	QUIZ_CORRECT_ANSWERS_EMPTY	The correct answers of the quiz are empty
400	QUIZ_CORRECT_ANSWERS_TOO_MUCH	The quiz contains too many correct answers
400	QUIZ_CORRECT_ANSWER_INVALID	The correct answers of the quiz are invalid
400	QUIZ_MULTIPLE_INVALID	A quiz can't have multiple answers
400	RANDOM_ID_EMPTY	The random ID is empty
400	RANDOM_ID_INVALID	The provided random ID is invalid
400	RANDOM_LENGTH_INVALID	The random length is invalid
400	RANGES_INVALID	Invalid range provided
400	REACTIONS_TOO_MANY	The message already has exactly reactions_uniq_max reaction emojis, you can't react with a new emoji, see the docs for more info ».
400	REACTION_EMPTY	The reaction provided is empty
400	REACTION_INVALID	Invalid reaction provided (only valid emoji are allowed)
400	REFLECTOR_NOT_AVAILABLE	The call reflector is not available
400	REPLY_MARKUP_BUY_EMPTY	Reply markup for buy button empty
400	REPLY_MARKUP_GAME_EMPTY	The provided reply markup for the game is empty
400	REPLY_MARKUP_INVALID	The provided reply markup is invalid
400	REPLY_MARKUP_TOO_LONG	The reply markup is too long
400	REPLY_TO_INVALID	The specified replyTo field is invalid
400	REPLY_TO_USER_INVALID	The specified replyTo user field is invalid
400	RESET_REQUEST_MISSING	No password reset is in progress.
400	RESULTS_TOO_MUCH	The result contains too many items
400	RESULT_ID_DUPLICATE	The result contains items with duplicated identifiers
400	RESULT_ID_EMPTY	Result ID empty
400	RESULT_ID_INVALID	The given result cannot be used to send the selection to the bot
400	RESULT_TYPE_INVALID	The result type is invalid
400	REVOTE_NOT_ALLOWED	You cannot change your vote
400	RIGHTS_NOT_MODIFIED	The new admin rights are equal to the old rights, no change was made.
400	RSA_DECRYPT_FAILED	Internal RSA decryption failed
400	SCHEDULE_BOT_NOT_ALLOWED	Bots are not allowed to schedule messages
400	SCHEDULE_DATE_INVALID	Invalid schedule date provided
